Year,Category,Subcategory,Services and Functions,Budget type,Budget (In '000)
2012/13,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",MOF External Debt Service (Bilateral),Revised,3993873
2014/15,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",MOF External Debt Service (Bilateral),Allocated Recurrent,785907
2014/15,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",MOF External Debt Service (Bilateral),Allocated Capital and finance,3811679
2013/14,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",MOF Staff Benifits and Retirement Benefits,Actual Expenditure,23862827
2012/13,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",MOF Staff Benifits and Retirement Benefits,Revised,22954627
2014/15,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",MOF Staff Benifits and Retirement Benefits,Allocated Recurrent,51125643
2013/14,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",MOF Miscellaneous,Actual Expenditure,2395166
2012/13,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",MOF Miscellaneous,Revised,1417712
2014/15,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",MOF Miscellaneous,Allocated Recurrent,17360000
2014/15,GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",MOF Miscellaneous,Allocated Capital and finance,4421549
2013/14,GENERAL PUBLIC SERVICES,General services,Public Service Commission,Actual Expenditure,341608
2012/13,GENERAL PUBLIC SERVICES,General services,Public Service Commission,Revised,384287
2014/15,GENERAL PUBLIC SERVICES,General services,Public Service Commission,Allocated Recurrent,403762
2014/15,GENERAL PUBLIC SERVICES,General services,Public Service Commission,Allocated Capital and finance,56800
2014/15,GENERAL PUBLIC SERVICES,General services,Ministry of Finance,Allocated Recurrent,49218
2014/15,GENERAL PUBLIC SERVICES,General services,Ministry of Finance,Allocated Capital and finance,560268
2014/15,GENERAL PUBLIC SERVICES,General services,Ministry of Home,Allocated Recurrent,8979723
2014/15,GENERAL PUBLIC SERVICES,General services,Ministry of Home,Allocated Capital and finance,358687
2013/14,GENERAL PUBLIC SERVICES,General services,"Ministry of Culture, Tourism and Civil Aviation",Actual Expenditure,65891
2012/13,GENERAL PUBLIC SERVICES,General services,"Ministry of Culture, Tourism and Civil Aviation",Revised,54135
2014/15,GENERAL PUBLIC SERVICES,General services,"Ministry of Culture, Tourism and Civil Aviation",Allocated Recurrent,247797
2014/15,GENERAL PUBLIC SERVICES,General services,"Ministry of Culture, Tourism and Civil Aviation",Allocated Capital and finance,15500
2013/14,GENERAL PUBLIC SERVICES,General services,Ministry of Foreign Affairs,Actual Expenditure,234329
2012/13,GENERAL PUBLIC SERVICES,General services,Ministry of Foreign Affairs,Revised,318995
2014/15,GENERAL PUBLIC SERVICES,General services,Ministry of Foreign Affairs,Allocated Recurrent,397989
2014/15,GENERAL PUBLIC SERVICES,General services,Ministry of Foreign Affairs,Allocated Capital and finance,50390
2013/14,GENERAL PUBLIC SERVICES,General services,Ministry of Physical Infrastructure and Transport,Actual Expenditure,2566
2013/14,GENERAL PUBLIC SERVICES,General services,MInistry of Urban Development,Actual Expenditure,190699
2012/13,GENERAL PUBLIC SERVICES,General services,MInistry of Urban Development,Revised,114712
2014/15,GENERAL PUBLIC SERVICES,General services,MInistry of Urban Development,Allocated Recurrent,514858
2014/15,GENERAL PUBLIC SERVICES,General services,MInistry of Urban Development,Allocated Capital and finance,82215
2013/14,GENERAL PUBLIC SERVICES,General services,Ministry of General Administration,Actual Expenditure,422220
2012/13,GENERAL PUBLIC SERVICES,General services,Ministry of General Administration,Revised,551589
2014/15,GENERAL PUBLIC SERVICES,General services,Ministry of General Administration,Allocated Recurrent,693679
2014/15,GENERAL PUBLIC SERVICES,General services,Ministry of General Administration,Allocated Capital and finance,34853
2013/14,GENERAL PUBLIC SERVICES,General services,National Planning Commission Secreterate,Actual Expenditure,480301
2012/13,GENERAL PUBLIC SERVICES,General services,National Planning Commission Secreterate,Revised,474677
2014/15,GENERAL PUBLIC SERVICES,General services,National Planning Commission Secreterate,Allocated Recurrent,609116
2014/15,GENERAL PUBLIC SERVICES,General services,National Planning Commission Secreterate,Allocated Capital and finance,200408
2012/13,GENERAL PUBLIC SERVICES,R&D General public services,Prime Minister and Council of Minister's Office,Revised,9342
2012/13,GENERAL PUBLIC SERVICES,R&D General public services,Ministry of Finance,Revised,12531
2014/15,GENERAL PUBLIC SERVICES,R&D General public services,Ministry of Finance,Allocated Recurrent,16765
2014/15,GENERAL PUBLIC SERVICES,R&D General public services,Ministry of Finance,Allocated Capital and finance,75
2013/14,GENERAL PUBLIC SERVICES,General public services n.e.c.,Election Commission,Actual Expenditure,389002
2012/13,GENERAL PUBLIC SERVICES,General public services n.e.c.,Election Commission,Revised,318744
2014/15,GENERAL PUBLIC SERVICES,General public services n.e.c.,Election Commission,Allocated Recurrent,341900
2014/15,GENERAL PUBLIC SERVICES,General public services n.e.c.,Election Commission,Allocated Capital and finance,56160
2013/14,GENERAL PUBLIC SERVICES,General public services n.e.c.,National Human Rights Commission,Actual Expenditure,61320
2012/13,GENERAL PUBLIC SERVICES,General public services n.e.c.,National Human Rights Commission,Revised,71343
2014/15,GENERAL PUBLIC SERVICES,General public services n.e.c.,National Human Rights Commission,Allocated Recurrent,116670
2014/15,GENERAL PUBLIC SERVICES,General public services n.e.c.,National Human Rights Commission,Allocated Capital and finance,3500
2013/14,GENERAL PUBLIC SERVICES,General public services n.e.c.,Ministry of Home,Actual Expenditure,7614
2012/13,GENERAL PUBLIC SERVICES,General public services n.e.c.,Ministry of Home,Revised,20029
2014/15,GENERAL PUBLIC SERVICES,General public services n.e.c.,Ministry of Home,Allocated Recurrent,14254
2014/15,GENERAL PUBLIC SERVICES,General public services n.e.c.,Ministry of Home,Allocated Capital and finance,46445
2013/14,GENERAL PUBLIC SERVICES,General public services n.e.c.,Ministry of Physical Infrastructure and Transport,Actual Expenditure,37276
2012/13,GENERAL PUBLIC SERVICES,General public services n.e.c.,Ministry of Physical Infrastructure and Transport,Revised,56458
2014/15,GENERAL PUBLIC SERVICES,General public services n.e.c.,Ministry of Physical Infrastructure and Transport,Allocated Recurrent,10974
2014/15,GENERAL PUBLIC SERVICES,General public services n.e.c.,Ministry of Physical Infrastructure and Transport,Allocated Capital and finance,97367
2013/14,GENERAL PUBLIC SERVICES,General public services n.e.c.,Ministry of Peace & Reconstruction,Actual Expenditure,168448
2012/13,GENERAL PUBLIC SERVICES,General public services n.e.c.,Ministry of Peace & Reconstruction,Revised,62203
2014/15,GENERAL PUBLIC SERVICES,General public services n.e.c.,Ministry of Peace & Reconstruction,Allocated Capital and finance,500000
2013/14,GENERAL PUBLIC SERVICES,General public services n.e.c.,Ministry of Federal Affairs and Local Development,Actual Expenditure,27400
2012/13,GENERAL PUBLIC SERVICES,General public services n.e.c.,Ministry of Federal Affairs and Local Development,Revised,70000
2014/15,GENERAL PUBLIC SERVICES,General public services n.e.c.,Ministry of Federal Affairs and Local Development,Allocated Recurrent,3065576
2014/15,GENERAL PUBLIC SERVICES,General public services n.e.c.,Ministry of Federal Affairs and Local Development,Allocated Capital and finance,20000
2013/14,GENERAL PUBLIC SERVICES,General public services n.e.c.,MOF Policy Financing,Actual Expenditure,11936
2014/15,GENERAL PUBLIC SERVICES,General public services n.e.c.,MOF Policy Financing,Allocated Capital and finance,178376
2014/15,GENERAL PUBLIC SERVICES,Public debt transactions,MOF Policy Financing,Allocated Capital and finance,2000000
2013/14,GENERAL PUBLIC SERVICES,Public debt transactions,MOF Domestic Debt Service,Actual Expenditure,31673602
2012/13,GENERAL PUBLIC SERVICES,Public debt transactions,MOF Domestic Debt Service,Revised,39212364
2014/15,GENERAL PUBLIC SERVICES,Public debt transactions,MOF Domestic Debt Service,Allocated Recurrent,18507642
2014/15,GENERAL PUBLIC SERVICES,Public debt transactions,MOF Domestic Debt Service,Allocated Capital and finance,32544900
2013/14,GENERAL PUBLIC SERVICES,Transfers of a general character between levels of government,Ministry of Federal Affairs and Local Development,Actual Expenditure,10323601
2012/13,GENERAL PUBLIC SERVICES,Transfers of a general character between levels of government,Ministry of Federal Affairs and Local Development,Revised,14441466
2014/15,GENERAL PUBLIC SERVICES,Transfers of a general character between levels of government,Ministry of Federal Affairs and Local Development,Allocated Recurrent,14977918
2014/15,GENERAL PUBLIC SERVICES,Transfers of a general character between levels of government,Ministry of Federal Affairs and Local Development,Allocated Capital and finance,375712
2013/14,DEFENCE,Military Defence,Ministry of Industry,Actual Expenditure,175693
2012/13,DEFENCE,Military Defence,Ministry of Industry,Revised,290057
2014/15,DEFENCE,Military Defence,Ministry of Industry,Allocated Recurrent,150000
2014/15,DEFENCE,Military Defence,Ministry of Industry,Allocated Capital and finance,200000
2013/14,DEFENCE,Military Defence,Ministry of Defence,Actual Expenditure,20595509
2012/13,DEFENCE,Military Defence,Ministry of Defence,Revised,30232716
2014/15,DEFENCE,Military Defence,Ministry of Defence,Allocated Recurrent,25613264
2014/15,DEFENCE,Military Defence,Ministry of Defence,Allocated Capital and finance,2757834
2014/15,DEFENCE,Civil defence,Ministry of Home,Allocated Recurrent,47000
2014/15,DEFENCE,Civil defence,Ministry of Home,Allocated Capital and finance,30000
2012/13,DEFENCE,Civil defence,MOF Policy Financing,Revised,1083000
2014/15,DEFENCE,Civil defence,MOF Policy Financing,Allocated Capital and finance,2521790
2013/14,DEFENCE,Defence n.e.c.,MInistry of Urban Development,Actual Expenditure,127973
2012/13,DEFENCE,Defence n.e.c.,MInistry of Urban Development,Revised,68026
2014/15,DEFENCE,Defence n.e.c.,MInistry of Urban Development,Allocated Recurrent,7040
2014/15,DEFENCE,Defence n.e.c.,MInistry of Urban Development,Allocated Capital and finance,31700
2013/14,Public  of secutrity,Police services,Ministry of Home,Actual Expenditure,20895499
2012/13,Public  of secutrity,Police services,Ministry of Home,Revised,32936164
2014/15,Public  of secutrity,Police services,Ministry of Home,Allocated Recurrent,20406058
2014/15,Public  of secutrity,Police services,Ministry of Home,Allocated Capital and finance,921361
2013/14,Public  of secutrity,Fire-protection services,Ministry of Home,Actual Expenditure,4361
2012/13,Public  of secutrity,Fire-protection services,Ministry of Home,Revised,5370
2014/15,Public  of secutrity,Fire-protection services,Ministry of Home,Allocated Recurrent,5811
2014/15,Public  of secutrity,Fire-protection services,Ministry of Home,Allocated Capital and finance,200
2013/14,Public  of secutrity,Law courts,Courts,Actual Expenditure,1789096
2012/13,Public  of secutrity,Law courts,Courts,Revised,2869453
2014/15,Public  of secutrity,Law courts,Courts,Allocated Recurrent,2647046
2014/15,Public  of secutrity,Law courts,Courts,Allocated Capital and finance,874000
2013/14,Public  of secutrity,Law courts,Office of the Attorney General,Actual Expenditure,320574
2012/13,Public  of secutrity,Law courts,Office of the Attorney General,Revised,407040
2014/15,Public  of secutrity,Law courts,Office of the Attorney General,Allocated Recurrent,431554
2014/15,Public  of secutrity,Law courts,Office of the Attorney General,Allocated Capital and finance,141890
2013/14,Public  of secutrity,Law courts,Council of Justice,Actual Expenditure,13631
2012/13,Public  of secutrity,Law courts,Council of Justice,Revised,29503
2014/15,Public  of secutrity,Law courts,Council of Justice,Allocated Recurrent,34251
2014/15,Public  of secutrity,Law courts,Council of Justice,Allocated Capital and finance,4005
2013/14,Public  of secutrity,Law courts,"Ministry of Law, Justice, Constituent Assembly and Parliamentary",Actual Expenditure,81213
2012/13,Public  of secutrity,Law courts,"Ministry of Law, Justice, Constituent Assembly and Parliamentary",Revised,111361
2014/15,Public  of secutrity,Law courts,"Ministry of Law, Justice, Constituent Assembly and Parliamentary",Allocated Recurrent,123572
2014/15,Public  of secutrity,Law courts,"Ministry of Law, Justice, Constituent Assembly and Parliamentary",Allocated Capital and finance,11822
,Public  of secutrity,Law courts,Affairs,,
2013/14,Public  of secutrity,Law courts,Ministry of Labour and Employment,Actual Expenditure,5616
2012/13,Public  of secutrity,Law courts,Ministry of Labour and Employment,Revised,8139
2014/15,Public  of secutrity,Law courts,Ministry of Labour and Employment,Allocated Recurrent,9529
2014/15,Public  of secutrity,Law courts,Ministry of Labour and Employment,Allocated Capital and finance,19
2013/14,Public  of secutrity,Prisons,Ministry of Home,Actual Expenditure,786077
2012/13,Public  of secutrity,Prisons,Ministry of Home,Revised,899591
2014/15,Public  of secutrity,Prisons,Ministry of Home,Allocated Recurrent,865325
2014/15,Public  of secutrity,Prisons,Ministry of Home,Allocated Capital and finance,151473
2013/14,Public  of secutrity,Public order and safety n.e.c.,Prime Minister and Council of Minister's Office,Actual Expenditure,347857
2012/13,Public  of secutrity,Public order and safety n.e.c.,Prime Minister and Council of Minister's Office,Revised,206826
2014/15,Public  of secutrity,Public order and safety n.e.c.,Prime Minister and Council of Minister's Office,Allocated Recurrent,233493
2014/15,Public  of secutrity,Public order and safety n.e.c.,Prime Minister and Council of Minister's Office,Allocated Capital and finance,1040140
2013/14,Public  of secutrity,Public order and safety n.e.c.,Ministry of Home,Actual Expenditure,1788051
2012/13,Public  of secutrity,Public order and safety n.e.c.,Ministry of Home,Revised,2128111
2014/15,Public  of secutrity,Public order and safety n.e.c.,Ministry of Home,Allocated Recurrent,1990844
2014/15,Public  of secutrity,Public order and safety n.e.c.,Ministry of Home,Allocated Capital and finance,581167
2013/14,Public  of secutrity,Public order and safety n.e.c.,Ministry of Peace & Reconstruction,Actual Expenditure,11730911
2012/13,Public  of secutrity,Public order and safety n.e.c.,Ministry of Peace & Reconstruction,Revised,4010944
2014/15,Public  of secutrity,Public order and safety n.e.c.,Ministry of Peace & Reconstruction,Allocated Recurrent,2704965
2014/15,Public  of secutrity,Public order and safety n.e.c.,Ministry of Peace & Reconstruction,Allocated Capital and finance,1290213
2012/13,Economic affairs ,"General economic, commercial and labour affairs",Prime Minister and Council of Minister's Office,Revised,20794
2014/15,Economic affairs ,"General economic, commercial and labour affairs",Prime Minister and Council of Minister's Office,Allocated Recurrent,25075
2014/15,Economic affairs ,"General economic, commercial and labour affairs",Prime Minister and Council of Minister's Office,Allocated Capital and finance,108910
2013/14,Economic affairs ,"General economic, commercial and labour affairs",Ministry of Commerce and Supply,Actual Expenditure,707964
2012/13,Economic affairs ,"General economic, commercial and labour affairs",Ministry of Commerce and Supply,Revised,1345025
2014/15,Economic affairs ,"General economic, commercial and labour affairs",Ministry of Commerce and Supply,Allocated Recurrent,848488
2014/15,Economic affairs ,"General economic, commercial and labour affairs",Ministry of Commerce and Supply,Allocated Capital and finance,457135
2013/14,Economic affairs ,"General economic, commercial and labour affairs",Ministry of Cooperative and poverty Alleviation,Actual Expenditure,81784
2012/13,Economic affairs ,"General economic, commercial and labour affairs",Ministry of Cooperative and poverty Alleviation,Revised,274574
2014/15,Economic affairs ,"General economic, commercial and labour affairs",Ministry of Cooperative and poverty Alleviation,Allocated Recurrent,505204
2014/15,Economic affairs ,"General economic, commercial and labour affairs",Ministry of Cooperative and poverty Alleviation,Allocated Capital and finance,400
2013/14,Economic affairs ,"General economic, commercial and labour affairs",Ministry of Federal Affairs and Local Development,Actual Expenditure,6373487
2012/13,Economic affairs ,"General economic, commercial and labour affairs",Ministry of Federal Affairs and Local Development,Revised,9298265
2014/15,Economic affairs ,"General economic, commercial and labour affairs",Ministry of Federal Affairs and Local Development,Allocated Recurrent,7458440
2014/15,Economic affairs ,"General economic, commercial and labour affairs",Ministry of Federal Affairs and Local Development,Allocated Capital and finance,2167988
2013/14,Economic affairs ,"General economic, commercial and labour affairs",Ministry of Labour and Employment,Actual Expenditure,304658
2012/13,Economic affairs ,"General economic, commercial and labour affairs",Ministry of Labour and Employment,Revised,520439
2014/15,Economic affairs ,"General economic, commercial and labour affairs",Ministry of Labour and Employment,Allocated Recurrent,723498
2014/15,Economic affairs ,"General economic, commercial and labour affairs",Ministry of Labour and Employment,Allocated Capital and finance,99332
2014/15,Economic affairs ,"Agriculture, forestry, fishing and hunting",Ministry of Finance,Allocated Recurrent,1000000
2013/14,Economic affairs ,"Agriculture, forestry, fishing and hunting",Ministry of Agriculture Development,Actual Expenditure,11546630
2012/13,Economic affairs ,"Agriculture, forestry, fishing and hunting",Ministry of Agriculture Development,Revised,17591697
2014/15,Economic affairs ,"Agriculture, forestry, fishing and hunting",Ministry of Agriculture Development,Allocated Recurrent,20703210
2014/15,Economic affairs ,"Agriculture, forestry, fishing and hunting",Ministry of Agriculture Development,Allocated Capital and finance,2532536
2013/14,Economic affairs ,"Agriculture, forestry, fishing and hunting",Ministry of Forestry and Soil Conservation,Actual Expenditure,4750973
2012/13,Economic affairs ,"Agriculture, forestry, fishing and hunting",Ministry of Forestry and Soil Conservation,Revised,7315914
2014/15,Economic affairs ,"Agriculture, forestry, fishing and hunting",Ministry of Forestry and Soil Conservation,Allocated Recurrent,6185210
2014/15,Economic affairs ,"Agriculture, forestry, fishing and hunting",Ministry of Forestry and Soil Conservation,Allocated Capital and finance,3311033
2013/14,Economic affairs ,"Agriculture, forestry, fishing and hunting",Ministry of Land Reforms and Management,Actual Expenditure,1930367
2012/13,Economic affairs ,"Agriculture, forestry, fishing and hunting",Ministry of Land Reforms and Management,Revised,2727054
2014/15,Economic affairs ,"Agriculture, forestry, fishing and hunting",Ministry of Land Reforms and Management,Allocated Recurrent,2763359
2014/15,Economic affairs ,"Agriculture, forestry, fishing and hunting",Ministry of Land Reforms and Management,Allocated Capital and finance,649059
2013/14,Economic affairs ,"Agriculture, forestry, fishing and hunting",Ministry of Cooperative and poverty Alleviation,Actual Expenditure,346822
2012/13,Economic affairs ,"Agriculture, forestry, fishing and hunting",Ministry of Cooperative and poverty Alleviation,Revised,382211
2014/15,Economic affairs ,"Agriculture, forestry, fishing and hunting",Ministry of Cooperative and poverty Alleviation,Allocated Recurrent,422890
2014/15,Economic affairs ,"Agriculture, forestry, fishing and hunting",Ministry of Cooperative and poverty Alleviation,Allocated Capital and finance,55021
2013/14,Economic affairs ,"Agriculture, forestry, fishing and hunting",Ministry of Irrigation,Actual Expenditure,10150665
2012/13,Economic affairs ,"Agriculture, forestry, fishing and hunting",Ministry of Irrigation,Revised,10199946
2014/15,Economic affairs ,"Agriculture, forestry, fishing and hunting",Ministry of Irrigation,Allocated Recurrent,1176392
2014/15,Economic affairs ,"Agriculture, forestry, fishing and hunting",Ministry of Irrigation,Allocated Capital and finance,12795915
2013/14,Economic affairs ,"Agriculture, forestry, fishing and hunting",Ministry of Federal Affairs and Local Development,Actual Expenditure,128533
2012/13,Economic affairs ,"Agriculture, forestry, fishing and hunting",Ministry of Federal Affairs and Local Development,Revised,841206
2014/15,Economic affairs ,"Agriculture, forestry, fishing and hunting",Ministry of Federal Affairs and Local Development,Allocated Recurrent,92243
2014/15,Economic affairs ,"Agriculture, forestry, fishing and hunting",Ministry of Federal Affairs and Local Development,Allocated Capital and finance,1281062
2012/13,Economic affairs ,"Agriculture, forestry, fishing and hunting",MOF Policy Financing,Revised,500000
2014/15,Economic affairs ,"Agriculture, forestry, fishing and hunting",MOF Policy Financing,Allocated Capital and finance,1000000
2013/14,Economic affairs ,Fuel and energy,Ministry of Industry,Actual Expenditure,21828
2012/13,Economic affairs ,Fuel and energy,Ministry of Industry,Revised,27914
2014/15,Economic affairs ,Fuel and energy,Ministry of Industry,Allocated Recurrent,19057
2014/15,Economic affairs ,Fuel and energy,Ministry of Industry,Allocated Capital and finance,21382
2013/14,Economic affairs ,Fuel and energy,Ministry of Energy,Actual Expenditure,294074
2012/13,Economic affairs ,Fuel and energy,Ministry of Energy,Revised,855335
2014/15,Economic affairs ,Fuel and energy,Ministry of Energy,Allocated Recurrent,240357
2014/15,Economic affairs ,Fuel and energy,Ministry of Energy,Allocated Capital and finance,2235329
2013/14,Economic affairs ,Fuel and energy,Ministry of Science Technology and Environment,Actual Expenditure,1659697
